date,Total_Sales,Total_Gallons
2023-09-18,90477.88,2358
2023-09-25,82347.98,2430
2023-10-02,73184.06,2168
2023-10-09,77319.95,2521
2023-10-16,87805.5,2382
2023-10-23,74181.26,1953
2023-10-30,22496.61,736
2023-10-30,66508.29,2158
2023-11-06,83196.53,2365
2023-11-13,77375.13,2008
2023-11-20,49101.3,1060
2023-11-27,62758.38,1474
2023-11-27,16139.99,430
2023-12-04,82105.64,1933
2023-12-11,80765.94,1914
2023-12-18,57373.68,1447
2023-12-25,-130050.68,735
2024-01-01,45218.86,1232
2024-01-08,58432.4,1544
2024-01-15,46643.4,1177
2024-01-22,64652.93,1838
2024-01-29,32732.28,836
2024-01-29,27343.15,771
2024-02-05,75773.58,2050
2024-02-12,85189.65,2127
2024-02-19,83739.52,2004
2024-02-26,56920.57,1344
2024-02-26,34881.8,1076
2024-03-04,88122.24,1830
2024-03-11,82306.3,1725
2024-03-18,63577.2,1326
2024-03-25,72577.21,1657
2024-04-01,90898.93,1973
2024-04-08,60429.57,1318
